Entry #,Ligand Type,Nanoparticle Type,NP Size (nm),Conjugation Chemistry,PEGylated?,PEG Details,Activation Agent,Molar Ratio (Ligand:NP),pH,Buffer,Temperature (°C),Incubation Time (h),Conjugation Efficiency (%),Characterization Method,Key Finding / Notes,First Author,Year,Journal,DOI
1,Transferrin,Magnetic silica (MNP-MSN),~60–80 nm (core MNP-MSN); ~110 nm after PF-127 coating,EDC/NHS,Yes (PF-127),Pluronic F-127 COOH-modified via succinic anhydride,EDC (1 mg/mL) + NHS (1 mg/mL),10 mg NPs in 5 mL PBS; 250 µL EDC + 250 µL NHS; 100 µL Tf (1 mg/mL),~7.4 (PBS),PBS,"RT 4h, then 4°C overnight",4h activation + overnight coupling,Not reported; DOX loading ~22.6%,"FTIR, TEM, VSM, drug release","Activate COOH on PF-127-coated MSN with EDC/NHS 4h RT. Add Tf dropwise, incubate 4°C overnight. Centrifuge, wash, lyophilize.",Situ,2018,ACS Omega,10.1021/acsomega.8b00152
2,Transferrin,Polymeric silica (F127/P123-TMOS),~90,EDC/NHS,Yes (F127/P123 shell),"Carboxylated Pluronic F127 + P123, TMOS silica shell",EDC + NHS (0.25 M each),Equal EDC/NHS (0.25 M) to NPs; 130 µg Tf in PBS,7.4 (PBS),PBS,"RT 15 min activation, overnight coupling",15 min + overnight,BCA: slight Tf loss during process; EE 95.7%,"DLS (~90 nm, PDI 0.23), TEM, BCA, zeta","Add 0.25 M EDC+NHS to NPs, stir 15 min RT. Add 130 µg Tf in PBS, incubate overnight. Ultracentrifuge 93,000g 30 min to separate unbound Tf.",Kim,2019,Pharmaceutics (MDPI),10.3390/pharmaceutics11020063
3,Transferrin,Polymer-coated MSN (chitosan or PLGA coat),100-200 (pores 2.5-5.2 nm),EDC/NHS,No,NH2-MSN coated with pH-sensitive polymer,EDC/NHS (standard carbodiimide),Tf conjugated to polymer-coated MSN surface via amide bond,7.4 coupling; 5.5 release,PBS,RT,Standard 2-4h,Enhanced uptake in MIA PaCa-2 vs non-targeted,"DLS, FTIR, TEM, cytotoxicity, cellular uptake",Amine-functionalized MSN coated with chitosan or PLGA. Tf conjugated via EDC/NHS to enable receptor-mediated uptake. Optimized pore size 2.5-5.2 nm for gemcitabine loading.,Morales (Bandyopadhyaya lab),2020,ACS Appl Nano Mater,10.1021/acsanm.9b01921
4,Transferrin,PEG-NP (8arm-PEG-DHA conjugate),~147,EDC/NHS,Yes (8arm-PEG),8arm-PEG-COOH (MW 10 kDa) conjugated to DHA,EDC (4 mg) + NHS (6 mg),50 mg PEG-conjugate in 10 mL PBS; EDC 4 mg + NHS 6 mg; 8 mg Tf in 5 mL PBS,~7.4 (PBS),PBS,RT,15 min activation + 6h coupling; 12h dialysis (MWCO 30 kDa),Drug loading ~10 wt%; NP size ~147 nm,"NMR, DLS, cytotoxicity (CCK-8), in vivo tumor growth","Dissolve 50 mg PEG-conjugate in 10 mL PBS. Add EDC(4mg)+NHS(6mg), stir RT 15 min. Add 8 mg Tf in 5 mL PBS, stir RT 6h. Dialyze MWCO 30kDa against PBS 12h. Lyophilize.",Yin,2016,Scientific Reports (Nature),10.1038/srep29461
5,Transferrin,MSN (redox-cleavable linker),~110,Disulfide bond (not EDC/NHS),No,Tf grafted via redox-cleavable disulfide bonds to MSN surface,Cystamine dihydrochloride linker,Tf serves as both capping agent and targeting ligand,~7.4,PBS,RT,Several hours,Redox-responsive release; glutathione triggers Tf detachment,"DLS, TEM, BET, drug release, cellular uptake",Alternative to EDC/NHS: Tf grafted via disulfide bonds. Dual function as cap + targeting ligand. GSH-triggered release in tumor microenvironment.,Chen X.,2017,Colloids Surf B,10.1016/j.colsurfb.2017.01.010
6,Transferrin,Fluorescent silica NP (APTS-functionalized),50 nm (Stöber),Maleimide-thiol,Yes (SM(PEG)8),APTS amine surface → SM(PEG)8 linker → terminal maleimide,TCEP (1:1 TCEP:Tf molar),NP:Tf 1:1 mass ratio; TCEP 1:1 molar to Tf,7.4 (HEPES),HEPES,RT,TCEP 5 min; coupling 2h at 400 rpm shaking; quench with β-mercaptoethanol (1 mM) 5 min,Uptake pathway depends on PEG architecture,"DLS, zeta, fluorescence microscopy, flow cytometry, pathway analysis","SiNP-NH2 (APTS) → react with SM(PEG)8 for PEG-Maleimide surface. Thiolate Tf with TCEP (1:1, 5 min). Immediately add NP-PEG-Mal to Tf-SH (1:1 mass), react 2h RT 400 rpm. Quench β-mercaptoethanol 1 mM 5 min. Wash 4× PBS. Store 4°C.",Delyan R. Hristov,2015,Scientific Reports (Nature),10.1038/srep17040
7,Transferrin,Silica NP (sulfo-SMCC linker),Not specified,Maleimide-thiol (via sulfo-SMCC),No,Tf functionalized with sulfo-SMCC (maleimide); payload thiolated with Traut's,Sulfo-SMCC on Tf; Traut's on payload,"Optimized: 1:1 Tf:sulfo-SMCC; Traut's at 1:1 amine ratio, 500 µM protein, 0°C, 12h",8.0 (phosphate buffer + 100 mM NaCl),50 mM phosphate + 100 mM NaCl,"0°C (thiolation), RT (coupling)",Thiolation 12h at 0°C; coupling variable,1:1 conjugate confirmed by mass spectrometry,"ESI-MS, SDS-PAGE, activity assays","Classical Tf conjugation: derivatize Tf Lys with sulfo-SMCC (introduces maleimide). Thiolate payload with Traut's (1:1, 0°C, 12h, pH 8.0). React immediately. WARNING: Traut's can reduce Tf disulfides at high pH — use low reagent conc and 0°C.",Kaihatsu (Bhatt lab),2013,Bioconjugate Chemistry (PMC3647025),10.1021/bc400103t
8,Transferrin,Liposome (SPC/Chol/DSPE-PEG),~130,Maleimide-thiol (post-insertion),Yes (DSPE-PEG2000-Mal),DSPE-PEG2000-Mal micelles for post-insertion,Traut's reagent (Tf:Traut 1:5 molar),Tf thiolated 1:5 Tf:Traut; DSPE-PEG-Mal at 0.1 mol% of total lipid,7.4,HEPES / sucrose,"RT (thiolation), 37°C+ (insertion)",Thiolation → coupling → post-insertion; total several hours,DOX EE 95%; size ~130 nm,"DLS, HPLC (EE), FBS stability, cellular uptake, cytotoxicity",Post-insertion for dual Tf/TAT liposome: thiolate Tf (Traut 1:5 RT). Couple Tf-SH to DSPE-PEG2000-Mal micelles. Post-insert into preformed DOX liposomes. IC50 decreased 68.7% vs plain liposome.,Chen,2015,Int J Nanomedicine,10.2147/IJN.S69379
9,Transferrin,Liposome (LP-ERN),~88.6,Maleimide-thiol (post-insertion),Yes (Mal-mPEG2000-DSPE),Mal-mPEG2000-DSPE conjugate post-inserted,Traut's reagent,Lipid-to-Tf-PEG conjugate 100:1 molar ratio,Not specified,Not specified,37°C,30 min post-insertion,EE 68.5%; size 88.63 nm; PDI 0.165,"DLS, PDI, EE","Tf thiolated with Traut's → coupled to Mal-mPEG2000-DSPE → post-inserted into LP-ERN at 100:1 lipid:conjugate, 37°C, 30 min. Neither uniformity nor EE compromised.",Kashif Maroof,2026,ACS Publications,10.1021/acsptsci.5c00719
10,Transferrin,Liposome (DSPC/Chol/DSPE-PEG-Mal),~85 (post-extrusion),Maleimide-thiol,Yes (DSPE-PEG-Mal at 1 mol%),DSPE-PEG2000-Maleimide incorporated; post-insertion coupling,Traut's reagent (protein:Traut 3:1),1 mol% DSPE-PEG-Mal; antibody:DSPE 1:1; Traut 3:1,~7.4,PBS-based,"55°C (1h membrane insertion), 4°C overnight (coupling)",1h at 55°C + overnight at 4°C,>90% DSPE-PEG-Mal retained (Ellman's); targeting confirmed by fluorescence,"Ellman's test, DLS, fluorescence microscopy","Thermal equilibration: add DSPE-PEG-Mal (25 mg/mL in DMSO) at 1 mol%, incubate 55°C 1h. Thiolate protein (Traut 3:1, 1h). Add at 1:1 DSPE:protein. Couple overnight 4°C. Quench β-mercaptoethanol 15 min.",Bresseleers,2022,Membranes (MDPI),10.3390/membranes12030319
11,Transferrin (as OX26 anti-TfR mAb),Liposome (DSPC/Chol/DSPE-PEG),~85,Maleimide-thiol (pre-formed liposome),Yes (DSPE-PEG-Mal),DSPE-PEG-Maleimide (0.015 µmol) incorporated during liposome formation,Traut's reagent (mAb:Traut 1:40 mol/mol),mAb:Traut 1:40; phospholipid:mAb 100:1 to 400:1; ~10% coupling efficiency; optimal ~30 Ab/liposome,8.5 (thiolation in borate); 8.0 (coupling in phosphate),0.15 M Na-borate + 0.1 mM EDTA (thiolation); 0.1 M Na-phosphate (coupling),RT (thiolation 60 min); RT overnight (coupling),60 min thiolation + overnight coupling,~10% coupling efficiency; 30 Ab/liposome optimal for brain delivery,"Ellman's (avg 1 thiol/mAb), Sephadex CL-4B column, radiolabeling, pharmacokinetics","Landmark BBB study: thiolate OX26 mAb (Traut 1:40, borate pH 8.5, 60 min RT). Exchange to phosphate pH 8.0. React immediately with DSPE-PEG-Mal liposomes overnight RT. Separate on Sephadex CL-4B. Coupling not affected by mAb conc at 100-400:1 lipid:mAb.",Huwyler (Pardridge lab),1996,PNAS,10.1073/pnas.93.24.14164
