Ligand Type,NP Type,Recommended Chemistry,Why This Chemistry,Alternative Chemistry,Key Constraint,Critical pH Range,Typical Efficiency Range (%),Supporting Entries,"Key References (author, year)",Key Finding / Protocol Notes
Transferrin (Tf),"Magnetic/Polymeric
 Silica NP
 (MNP-MSN, F127/P123-TMOS)","EDC/NHS
 (amide bond)","Tf Lys residues form amide bonds with surface –COOH (PF-127/succinic anhydride or carboxylated Pluronic). Standard 2-step: activate COOH 4 h RT, add Tf dropwise, couple 4 °C overnight. BCA-confirmed Tf loading; DOX EE 95.7% (Entry 2).","Maleimide–thiol
 (SM(PEG)8,
 Entry 6)","Activate COOH with EDC/NHS BEFORE Tf addition (15–30 min). Do NOT mix EDC + Tf + NPs simultaneously. Remove excess EDC by ultracentrifuge (93,000 g, 30 min) or quench with 2-ME before coupling. High EDC ratios risk Tf self-crosslinking.","~7.4 PBS
 (activation + coupling)","DOX EE ~22.6%
 (Entry 1);
 BCA: slight Tf loss
 (Entry 2);
 EE 95.7% (Entry 2)","1, 2, 2003","Situ, 2018
 Kim, 2019
 Morales, 2020","Entry 1: Activate COOH on PF-127-MSN with EDC(1mg/mL)+NHS(1mg/mL), 4h RT. Add Tf dropwise, 4°C overnight. Centrifuge+wash+lyophilize. Entry 2: EDC+NHS 0.25M, stir 15min RT, add 130µg Tf in PBS, overnight. Ultracentrifuge 93,000g 30min to remove unbound Tf. Entry 3: NH2-MSN coated with chitosan or PLGA; Tf via EDC/NHS; pore size 2.5–5.2nm for gemcitabine."
Transferrin (Tf),"Fluorescent Silica NP
 (APTS-SiNP, Stöber ~50 nm)","Maleimide–thiol
 (SM(PEG)8 linker)","APTS amine surface reacted with SM(PEG)8 to install terminal maleimide. Tf thiolated with TCEP (1:1 molar, 5 min). NP-PEG-Mal + Tf-SH at 1:1 mass ratio, 2h RT 400 rpm. PEG8 spacer reduces steric hindrance. Uptake pathway depends on PEG architecture (Entry 6).","EDC/NHS
 (amide bond,
 Entries 1–3)","TCEP 1:1 molar to Tf — do NOT over-reduce (unfolds protein). Quench β-mercaptoethanol 1 mM, 5 min immediately after coupling. Store at 4°C. Maleimide hydrolyses at pH >7.5 — keep at pH 7.4.","7.4 HEPES
 (all steps)",">80% Ab/Tf activity
 retained (Entry 6);
 uptake pathway
 confirmed","6, 7","Hristov, 2015
 Kaihatsu, 2013","Entry 6: SiNP-NH2 (APTS) → SM(PEG)8 (10×, HEPES pH7.4, 1h). TCEP 1:1 to Tf (5 min). Add NP-PEG-Mal + Tf-SH (1:1 mass), 2h RT 400rpm. Quench β-ME 1mM 5min. Wash 4× PBS. Entry 7: Derivatize Tf Lys with sulfo-SMCC (introduces maleimide); thiolate payload with Traut's (1:1, 0°C, 12h, pH 8.0). WARNING: Traut's can reduce Tf disulfides at high pH—use low conc and 0°C."
Transferrin (Tf),"MSN
 (redox-cleavable,
 ~110 nm)","Disulfide bond
 (cystamine linker)",Tf grafted via redox-cleavable disulfide bonds — serves as BOTH capping agent AND targeting ligand (Entry 5). GSH in tumor microenvironment triggers Tf detachment + simultaneous drug release. Eliminates need for separate cap and ligand.,"EDC/NHS
 (amide bond,
 Entries 1–3)",Disulfide NOT stable in systemic circulation (plasma GSH ~5 µM). Use ONLY for intracellular GSH-triggered release. Not suitable if blood-stable conjugate required.,~7.4 PBS,"Redox-responsive
 release confirmed;
 quantitative CE not
 reported (Entry 5)",5,"Chen X., 2017",Entry 5: Tf grafted via disulfide bonds to MSN surface using cystamine dihydrochloride linker. Tf acts as dual capping + targeting agent. GSH-triggered release in tumor microenvironment confirmed. FTIR + DLS characterization.
Transferrin (Tf),"PEGylated NP
 (8arm-PEG-DHA, ~147 nm;
 PLGA-PEG, ~200 nm)","EDC/NHS
 (amide bond,
 PEG-COOH terminus)",8arm-PEG-COOH (10 kDa) conjugated to DHA; EDC(4mg)+NHS(6mg) activate terminal COOH; 8mg Tf in PBS coupled RT 6h then dialyzed MWCO 30kDa (Entry 4). PLGA-PEG-COOH terminus used for Tf variant (oxalate) — oxalate variant showed 3× lower IC50 vs native Tf (Entry 17).,"Maleimide–thiol
 (PLGA-PEG-Mal +
 Traut's, Entry 19)","PEGylation can bury –COOH groups. Verify accessible carboxyl density before coupling. Dialysis (MWCO 30kDa, 12h) required to remove free Tf (Entry 4). For PLGA-PEG systems, activate at MES pH 6 then transfer to PBS pH 7.4 for coupling.","~7.4 PBS
 (activation + coupling);
 MES pH 6 → PBS 7.4
 (for PLGA-PEG)","Drug loading ~10 wt%
 (Entry 4);
 EE 86.2%, DL 7.8%
 (Entry 15-type);
 3× IC50 reduction,
 oxalate Tf (Entry 17)","4, 17, 18","Yin, 2016
 Luo, 2017
 Cui, 2017","Entry 4: Dissolve 50mg PEG-conjugate in 10mL PBS. Add EDC(4mg)+NHS(6mg), stir RT 15min. Add 8mg Tf in 5mL PBS, stir RT 6h. Dialyze MWCO 30kDa vs PBS 12h. Lyophilize. Entry 17: PLGA-PEG-Tf NPs in 3D PLGA scaffolds; oxalate Tf variant > native Tf. Entry 18: Non-covalent Tf adsorption on PLGA (simpler but less stable — included as comparator)."
Transferrin (Tf),"Lipid-coated PLGA NP
 (MB-DOPE + DSPE-PEG,
 ~170 nm)","Maleimide–thiol
 (post-insertion,
 Traut's reagent)","Tf thiolated with Traut's 5× excess (HEPES pH 8). Tf-SH coupled to MB-DOPE micelles (1:10 protein:lipid, 37°C, 1h). Post-inserted into drug-loaded PLGA NPs (37°C, 1h). IC50 0.77–1.21 nM (Tf-NP) vs 1.90–3.41 nM non-targeted (Entry 19).","EDC/NHS
 (PLGA-COOH terminus)","MBS-DOPE synthesis required first (MBS + DOPE in CHCl3 + TEA, overnight RT). Traut's 5× at pH 8 — risk of Tf disulfide reduction at higher ratios. Post-insertion at 37°C ≤1h to avoid lipid phase artefacts.","8.0 HEPES
 (thiolation)
 → ~7.4
 (coupling + insertion)","Drug loading 36.3±3.4%;
 zeta −18.9 mV;
 IC50 0.77–1.21 nM vs
 1.90–3.41 nM
 (Entry 19)",19,"Li (Lee lab), 2013","Entry 19: (1) Synthesize MB-DOPE (MBS+DOPE in CHCl3+TEA, overnight RT). (2) Form micelles. (3) Thiolate Tf (5× Traut's, HEPES pH 8, 1h). (4) Mix Tf-SH with MB-DOPE micelles 1:10 protein:lipid, 37°C, 1h. (5) Post-insert Tf-DOPE into drug-loaded PLGA NPs, 37°C, 1h. Characterized by DLS, zeta, HPLC, aromatase inhibition."
Transferrin (Tf),"PLGA NP
 (bare, 50:50,
 ~200 nm)","EDC/NHS
 (amide bond,
 PLGA terminal –COOH)","PLGA 50:50 provides terminal –COOH without modification. Activate with EDC (20× molar excess), agitate RT 30min, add Tf (2× excess), agitate 1h RT (Entry 14). Target ~100 Tf/NP. BCA quantification of unbound Tf in supernatant confirms loading. Enhanced uptake in cancer cells vs non-targeted.","Physical adsorption
 (non-covalent,
 Entry 18 — less stable)","EDC 20× molar excess needed for sufficient activation. Quantify unbound Tf by BCA (supernatant method). CMC-coated PLGA (Entry 16): activate with EDC 2mM + NHS 5mM in NaCl pH 5.5, 15min; quench with 2-mercaptoethanol 20mM before adding Tf.","5.5 NaCl
 (Entry 16 activation)
 or aqueous
 (Entry 14)
 → PBS 7.4 (coupling)","EE 86.2%, DL 7.8%
 (Entry 15);
 CE measured by BCA
 supernatant
 (Entry 14);
 zeta −17.4 mV","14, 15, 16","Ramalho, 2023
 Singh, 2023
 Xi Lin, 2017","Entry 14: Activate PLGA-COOH with EDC (20× excess), agitate RT 30min. Add Tf (2× excess), agitate 1h RT. Centrifuge, resuspend in water. BCA quantification. Entry 15: Double emulsification → PLGA NPs → EDC/NHS coupling with Tf. Confirmed by TEM/SEM/FTIR. Enhanced intranasal brain uptake in rats. Entry 16: CMC-COOH surface. EDC 2mM + NHS 5mM in NaCl pH 5.5, 15min. Quench with 2-ME 20mM. Centrifuge 1000rpm 10min 4°C. Then add Tf."
Transferrin (Tf),"Liposome
 (SPC/Chol/DSPE-PEG,
 DSPC/Chol/DSPE-PEG-Mal,
 ~85–130 nm)","Maleimide–thiol
 (post-insertion,
 Traut's reagent +
 DSPE-PEG2000-Mal)","Tf thiolated with Traut's (1:5 or 3:1 protein:Traut). Coupled to DSPE-PEG2000-Mal micelles then post-inserted into preformed liposomes (Entries 8,9) OR DSPE-PEG-Mal incorporated during formation + Tf coupled post-extrusion (Entry 10). DOX EE 95% (Entry 8). EE ERN 68.5% (Entry 9). >90% DSPE-PEG-Mal retained by Ellman's (Entry 10).","EDC/NHS
 (DSPE-PEG2000-COOH,
 Entry 37-type)",Traut's ratio critical: 1:5 (Entry 8) or 3:1 (Entry 10) — higher ratios risk reducing Tf disulfides. Quench β-mercaptoethanol 15min after coupling. Thermal equilibration at 55°C 1h for post-insertion (Entry 10) — do NOT exceed 1h.,"7.4 HEPES/PBS
 (coupling);
 55°C for insertion
 (Entry 10)","EE DOX 95%
 (Entry 8);
 EE ERN 68.5%
 (Entry 9);
 >90% DSPE-PEG-Mal
 retained (Entry 10)","8, 9, 10, 12","Chen, 2015
 Maroof, 2026
 Bresseleers, 2022
 Khan, 2021","Entry 8: Thiolate Tf (Traut 1:5 RT). Couple Tf-SH to DSPE-PEG2000-Mal micelles. Post-insert into DOX liposomes. IC50 decreased 68.7% vs plain. Entry 9: Tf-SH + Mal-mPEG2000-DSPE → post-insert into LP-ERN at 100:1 lipid:conjugate, 37°C, 30min. Entry 10: Add DSPE-PEG-Mal (25mg/mL DMSO) at 1mol%, 55°C 1h. Thiolate Tf (Traut 3:1, 1h). Couple 1:1 DSPE:Tf, overnight 4°C. Quench β-ME 15min. Entry 12: Ab:DSPE-PEG-Mal 1:10, 4°C 4h stirring; ultracentrifuge 55,000rpm 1h."
"Transferrin
 (anti-TfR mAb OX26)","Liposome
 (DSPC/Chol/DSPE-PEG,
 ~85 nm, BBB delivery)","Maleimide–thiol
 (Traut's 1:40 molar +
 DSPE-PEG-Mal)",Landmark Huwyler/Pardridge 1996 BBB immunoliposome protocol. OX26 mAb thiolated at very low Traut's ratio (1:40 mAb:Traut) to limit to ~1 thiol/mAb. ~10% coupling efficiency; ~30 Ab/liposome optimal for brain delivery. Enhanced pharmacokinetics in rats confirmed.,"EDC/NHS
 (higher crosslinking
 risk)",mAb:Traut 1:40 — lower than for other Abs (prevents >1 thiol/mAb from aggregating). Coupling efficiency not affected by mAb concentration at 100–400:1 phospholipid:mAb ratio. Exchange buffer to phosphate pH 8.0 before coupling. Separate on Sephadex CL-4B.,"8.5 borate
 (Traut's thiolation)
 → 8.0 phosphate
 (coupling)","~10% coupling
 efficiency;
 ~30 Ab/liposome
 optimal;
 BBB crossing confirmed
 in rats (Entry 11)","11, 34","Huwyler
 (Pardridge lab), 1996","Entry 11/34: Thiolate OX26 mAb (Traut's 1:40, 0.15M Na-borate + 0.1mM EDTA pH 8.5, 60min RT). Ellman's: avg 1 thiol/mAb. Exchange to 0.1M Na-phosphate pH 8.0. React immediately with DSPE-PEG-Mal liposomes overnight RT. Separate on Sephadex CL-4B. Radiolabeling (3H-cholesterol) for PK in rats."
"Antibody (full IgG)
 (anti-EGFR cetuximab,
 fluorescein-Ab)","Silica NP
 (APTES-NH2, carboxylated
 SiO2, ORMOSIL-PEG,
 ~30–150 nm)","EDC/NHS
 (amide bond,
 NP surface –COOH)","APTES-functionalized SiNPs → EDC/NHS couples Ab Lys residues to NP –COOH or installs COOH via PEG2000-COOH (Entry 25). ORMOSIL-PEG-COOH: activate with EDC/Sulfo-NHS MES pH 6 (15min), desalt, add cetuximab in PBS pH 7.4, 2h RT (Entry 25). ~262.5 ng Ab per 3mg NPs (Entry 22). CE 1–20% typical for random Lys coupling.","Maleimide–thiol
 (PEG-Mal surface,
 Entries 23, 26, 27)","Use Sulfo-NHS (water-soluble) not NHS for NP-surface activation. Activate NP-COOH FIRST, desalt, THEN add Ab — do NOT mix EDC + Ab + NPs simultaneously. Two-buffer protocol (MES pH 6 activation → PBS pH 7.4 coupling) maximizes NHS-ester stability.","~6.0 MES
 (activation)
 → ~7.4 PBS
 (coupling)","CE 1–20%
 (random Lys coupling,
 Entry 29);
 ~262.5 ng Ab/3mg NP
 (Entry 22)","22, 25, 29","Watermann, 2019
 Bhattacharya, 2009
 Duwa, 2020","Entry 22: APTES-SiNPs (~45nm) + EDC/NHS in 0.9% NaCl, 12h coupling. Entry 25: Synthesize ORMOSIL (APTS+VPTES in AOT/DMSO/water microemulsion). PEGylate with PEG2000-COOH. Activate COOH (EDC/Sulfo-NHS, MES pH 6, 15min). Desalt. Add cetuximab in PBS pH 7.4, 2h RT. Wash by centrifugation. Entry 29: SiO2-COOH NPs 1mg/mL; EDC 0.4mg + Sulfo-NHS 1.1mg in MES pH 6, 30min; PBS pH 7.4; cetuximab 25µg/mg NP, 1–2h RT; quench hydroxylamine 10mM 10min."
"Antibody (full IgG)
 (anti-CD105 TRC105,
 trastuzumab anti-HER2)","Mesoporous Silica NP
 (mSiO2-PEG, PEI-PEG,
 ~50–80 nm)","Maleimide–thiol
 (dual PEGylation +
 TCEP or Traut's
 thiolation)","Two-step PEGylation on mSiO2: Mal-PEG5k-NH2 for surface amine, then Mal-PEG5k-SCM for terminal maleimide. TCEP reduces TRC105 disulfides → Ellman's confirms –SH. React TRC105-SH with NP-PEG-Mal, 2h RT. ~17.5% ID/g tumor at 24h by PET (Entry 23). 9-month lyophilized stability maintained (Entry 24).","EDC/NHS
 (PEG-COOH surface,
 Entries 22, 25)",TCEP reduction must be confirmed by Ellman's assay before coupling. Quench β-mercaptoethanol 1mM after coupling. TCEP-reduced Ab must be used IMMEDIATELY — thiols re-oxidize within 30–60min. Add 2mM EDTA to all buffers.,"7.4 PBS
 (all steps)","~17.5% ID/g tumor
 at 24h PET (Entry 23);
 tumor:muscle >5:1
 (Entry 26);
 9-month stability
 (Entry 24)","23, 24, 26, 27","Chen, 2013
 (ACS Nano)
 Wongrakpanich, 2018
 Hristov, 2015","Entry 23/26: Thiolate mSiO2 with MPS at 86–90°C ethanol. PEGylate with Mal-PEG5k-NH2 overnight RT. Install NOTA then Mal-PEG5k-SCM. TCEP-reduce TRC105, react with NP-PEG-Mal 2h RT. Entry 24: MSNP-PEI (4:1 mass PEI); cross-link DSP 40min; Mal-PEG5k-NHS (1:1) in PBS pH 7.2 2h; Traut's 50× to trastuzumab pH 8.0 2h; Ab-SH + MSNP-PEI-PEG overnight 4°C. Entry 27: SM(PEG)8 (10×, HEPES pH 7.4, 1h). TCEP 1:1 Ab, 5min. 1:1 mass coupling 2h RT 400rpm. Quench β-ME 1mM."
